Text,Label
"Patient complains of sudden-onset chest pain, shortness of breath, and palpitations. No significant past medical history reported. Physical examination shows tachycardia and hypotension. Diagnosis: Pulmonary embolism. Treatment Plan: Initiate anticoagulation therapy with heparin and arrange for imaging studies to confirm diagnosis.",Medical Records
Patient presents with acute onset of unilateral facial weakness and drooping. No significant past medical history reported. Physical examination reveals decreased facial muscle tone on the affected side. Diagnosis: Bell's palsy. Treatment Plan: Prescribe corticosteroids and advise facial exercises.,Medical Records
"Patient reports recurrent episodes of abdominal pain, diarrhea, and weight loss. Past medical history includes inflammatory bowel disease (IBD). Physical examination shows signs of malnutrition and abdominal tenderness. Diagnosis: IBD flare. Treatment Plan: Adjust current medication regimen, prescribe corticosteroids, and monitor inflammatory markers.",Medical Records
"Patient presents with sudden-onset severe headache, confusion, and focal neurological deficits. No significant past medical history reported. Physical examination reveals altered mental status and unilateral weakness. Diagnosis: Acute ischemic stroke. Treatment Plan: Arrange for emergent brain imaging and administer thrombolytic therapy if indicated.",Medical Records
"Patient reports chest tightness and palpitations. No significant past medical history reported. Physical examination shows tachycardia and elevated blood pressure. Diagnosis: Panic attack. Treatment Plan: Offer reassurance, teach relaxation techniques, and prescribe lorazepam 1mg PRN for anxiety.",Medical Records
"Patient presents with joint pain, swelling, and morning stiffness. Past medical history includes rheumatoid arthritis. Physical examination reveals symmetrical joint involvement with warmth and erythema. Diagnosis: Rheumatoid arthritis flare. Treatment Plan: Increase methotrexate dosage, initiate prednisone taper, and refer to rheumatologist for further management.",Medical Records
"Patient complains of persistent headaches, visual disturbances, and nausea. No significant past medical history reported. Physical examination shows papilledema on fundoscopic examination. Diagnosis: Idiopathic intracranial hypertension. Treatment Plan: Start acetazolamide 250mg twice daily, arrange for ophthalmology consultation, and advise weight loss and dietary changes.",Medical Records
"Patient presents with fatigue, weight gain, and cold intolerance. Past medical history includes Hashimoto's thyroiditis. Physical examination reveals dry skin, bradycardia, and goiter. Diagnosis: Hypothyroidism. Treatment Plan: Initiate levothyroxine 50mcg once daily and monitor thyroid function tests regularly.",Medical Records
"Patient complains of abdominal bloating, diarrhea, and unintentional weight loss. Past medical history includes celiac disease. Physical examination shows signs of malnutrition. Diagnosis: Celiac disease exacerbation. Treatment Plan: Reinforce gluten-free diet, prescribe vitamin supplements, and refer to dietitian for nutritional counseling.",Medical Records
"Patient presents with productive cough, fever, and purulent sputum. Past medical history includes chronic obstructive pulmonary disease (COPD). Physical examination reveals decreased breath sounds and crackles on auscultation. Diagnosis: Acute exacerbation of COPD with pneumonia. Treatment Plan: Initiate antibiotic therapy with azithromycin and provide supplemental oxygen therapy.",Medical Records
